0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:19:22 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:27 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:27 +0900] "GET /lounge/resources/images/mainlogo.PNG HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/mainbanner_eduexplain.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/mainbanner_ogudoctor.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/mainbanner_place.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/mainbanner_pocket.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/mainbanner_lounge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/mainbanner_food.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:36:28 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:41:31 +0900] "GET /supdisplay.do HTTP/1.1" 200 9242
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:41:31 +0900] "GET /resources/js/jquery-3.6.3.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:41:31 +0900] "GET /resources/images/home/mainlogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Aug/2023:17:41:31 +0900] "GET /resources/images/home/footer_image.png HTTP/1.1" 304 -
